data_da_ocorrencia,crimes_sexuais
2015-11-29,6
2015-11-30,4
2015-12-01,14
2015-12-02,10
2015-12-03,8
2015-12-04,5
2015-12-05,7
2015-12-06,13
2015-12-07,5
2015-12-08,5
2015-12-09,9
2015-12-10,6
2015-12-11,8
2015-12-12,10
2015-12-13,7
2015-12-14,7
2015-12-15,9
2015-12-16,7
2015-12-17,3
2015-12-18,6
2015-12-19,6
2015-12-20,4
2015-12-21,6
2015-12-22,9
2015-12-23,6
2015-12-24,4
2015-12-25,3
2015-12-26,8
2015-12-27,5
2015-12-28,3
2015-12-29,3
2015-12-30,4
2015-12-31,4
